date,holiday_name,type
2024-01-01,New Year's Day,federal
2024-01-15,Martin Luther King Jr. Day,federal
2024-02-19,Washington's Birthday,federal
2024-05-27,Memorial Day,federal
2024-06-19,Juneteenth National Independence Day,federal
2024-07-04,Independence Day,federal
2024-09-02,Labor Day,federal
2024-10-14,Columbus Day,federal
2024-11-11,Veterans Day,federal
2024-11-28,Thanksgiving Day,federal
2024-12-25,Christmas Day,federal
2025-01-01,New Year's Day,federal
2025-01-20,Martin Luther King Jr. Day,federal
2025-02-17,Washington's Birthday,federal
2025-05-26,Memorial Day,federal
2025-06-19,Juneteenth National Independence Day,federal
2025-07-04,Independence Day,federal
2025-09-01,Labor Day,federal
2025-10-13,Columbus Day,federal
2025-11-11,Veterans Day,federal
2025-11-27,Thanksgiving Day,federal
2025-12-25,Christmas Day,federal
